peakx,peaky
15.0,118.22235735248606
105.0,109.16256837258153
196.0,100.18726912347417
285.0,100.87370260520049
375.0,127.77420014484119
465.0,110.35221142442613
556.0,117.30057042311442
645.0,107.94997804079773
735.0,105.203317230976
826.0,121.5600144481494
917.0,121.02858029483275
1006.0,94.63705631526419
1096.0,116.80239570463746
1187.0,114.55527732447915
1278.0,106.56507346518495
1368.0,115.47636876685237
1458.0,114.9535304275471
1549.0,106.87444852002982
1640.0,115.2911993626302
1730.0,124.1144779926251
1821.0,129.12889343178028
1912.0,124.02009641942809
2003.0,112.72018968457373
2094.0,100.86016117734923
2186.0,122.67231226562764
2277.0,109.84631359363055
2368.0,119.81053125537181
2459.0,110.8252089580548
2551.0,117.5617165349363
2643.0,115.42108152752547
2734.0,108.50204711274827
2826.0,117.9631282836601
2918.0,124.63610833403752
3011.0,109.95767160963189
3102.0,101.76676234174117
3194.0,125.30473245906103
3286.0,113.98708152878268
3379.0,114.26394213339788
3471.0,113.24985744294503
3564.0,106.50194391354546
3656.0,126.69093981362941
3749.0,122.5342095514927
3842.0,120.98486429619336
3934.0,85.65374432172705
4027.0,124.96702720343643
4214.0,120.0353831334586
4307.0,124.01699460953311
4400.0,120.16208845183657
4493.0,118.56058134330758
4587.0,92.36026720373685
4680.0,122.80155807559814
4773.0,123.38488024844145
4866.0,123.69573781149091
4960.0,127.12501324736303
5053.0,113.27298657264635
5147.0,135.71271703669802
5241.0,108.49903705048553
5334.0,123.80936399783607
5428.0,119.51941121582831
5521.0,112.35101606022053
5616.0,119.03383169711027
5709.0,101.09824692326072
5803.0,127.31468894198936
5897.0,129.30069449968508
5991.0,123.8747648657581
6086.0,103.3634169171553
6179.0,125.44897102080311
6274.0,126.0248298490273
6368.0,127.36255734301734
6463.0,127.32614658518176
6558.0,112.32789025940987
6652.0,122.45299497944713
6747.0,127.24264014195627
6843.0,117.47917936032037
6938.0,124.88503297086264
7033.0,118.19631479405516
7128.0,130.64834842110682
7224.0,120.81559398100158
7320.0,118.38777340118841
7415.0,119.48051746621323
7511.0,142.72242630158576
7606.0,114.20547231662029
7701.0,135.22874656741035
7797.0,132.82728651023692
7892.0,137.97299189812085
7987.0,104.81705841187636
8083.0,116.41613063713172
8178.0,108.2509170071915
8273.0,136.47478469804906
8370.0,113.8814593620214
8464.0,114.50993480727087
8559.0,121.64473316258767
8654.0,92.42680436322993
8751.0,111.89705355328174
8847.0,112.37815430445094
8943.0,105.19891254266578
9038.0,108.10542405969761
9134.0,119.25204706749632
9230.0,109.1670657768863
9326.0,109.9162450376847
9422.0,108.11875039388879
9517.0,114.3638400390923
9614.0,113.24790788215613
9709.0,119.29940633565924
9806.0,126.73379472399697
9902.0,105.9577031258479
9999.0,127.55222880247966
10094.0,117.36928233204044
10191.0,120.92141623834715
10288.0,126.68499950906477
10384.0,108.97725295995619
10481.0,116.72053695635363
10578.0,116.85844210909569
10676.0,116.35622135639098
10773.0,111.41162320868224
10869.0,118.74252423519778
10967.0,123.6463476984745
11065.0,118.0267956013895
11164.0,120.3700057660016
11262.0,116.76633111388219
11359.0,111.65418358487665
11457.0,108.45114155651879
11556.0,107.82199739872817
11655.0,104.87454211041577
11753.0,112.61476818996799
11851.0,89.09013638430534
11950.0,120.0827518333635
