Diff Between Pulses ;  ACC
0.6350105833333333;0.6350105833333333;0
0.540009;1.1750195833333332;1
0.5300088333333333;1.7050284166666665;2
0.5300088333333335;2.23503725;3
0.530008833333333;2.765046083333333;4
0.5200086666666666;3.2850547499999996;5
0.5150085833333335;3.800063333333333;6
0.5050084166666666;4.30507175;7
0.4900081666666667;4.795079916666666;8
0.4850080833333328;5.280087999999999;9
0.4850080833333337;5.765096083333333;10
0.48000799999999977;6.245104083333333;11
0.4900081666666667;6.735112249999999;12
0.5050084166666666;7.240120666666666;13
0.5200086666666666;7.7601293333333325;14
0.5550092500000003;8.315138583333333;15
0.5700094999999994;8.885148083333332;16
0.6050100833333332;9.490158166666665;17
0.635010583333333;10.125168749999998;18
0.640010666666667;10.765179416666665;19
0.6450107500000009;11.410190166666666;20
0.6250104166666652;12.035200583333332;21
0.5950099166666671;12.630210499999999;22
0.5750095833333333;13.205220083333332;23
0.5600093333333334;13.765229416666665;24
0.5450090833333334;14.310238499999999;25
0.5350089166666674;14.845247416666666;26
0.5250087499999996;15.370256166666666;27
0.5100084999999996;15.880264666666665;28
0.5050084166666657;16.38527308333333;29
0.5000083333333336;16.885281416666665;30
0.4950082500000015;17.380289666666666;31
0.49500824999999793;17.875297916666664;32
0.4950082500000015;18.370306166666666;33
0.5050084166666657;18.87531458333333;34
0.5050084166666657;19.380322999999997;35
0.5100085000000014;19.8903315;36
0.5250087500000014;20.41534025;37
0.5400089999999977;20.955349249999998;38
0.5300088333333335;21.48535808333333;39
0.5350089166666656;22.020366999999997;40
0.5300088333333335;22.55037583333333;41
0.5250087500000014;23.07538458333333;42
0.5150085833333335;23.590393166666665;43
0.5050084166666657;24.09540158333333;44
0.5000083333333336;24.595409916666664;45
0.4950082500000015;25.090418166666666;46
0.49500824999999793;25.585426416666664;47
0.4850080833333337;26.070434499999998;48
0.48000800000000154;26.5504425;49
0.4900081666666658;27.040450666666665;50
0.4850080833333337;27.52545875;51
0.4900081666666658;28.015466916666664;52
0.4950082500000015;28.510475166666666;53
0.5100084999999979;29.020483666666664;54
0.5350089166666656;29.55549258333333;55
0.5450090833333334;30.100501666666663;56
0.5600093333333334;30.660510999999996;57
0.5600093333333334;31.22052033333333;58
0.5600093333333334;31.780529666666663;59
0.5550092500000012;32.335538916666664;60
0.5350089166666692;32.87054783333333;61
0.5250087499999978;33.39555658333333;62
0.5150085833333335;33.910565166666665;63
0.5000083333333336;34.4105735;64
0.49000816666666225;34.90058166666666;65
0.49000816666666935;35.39058983333333;66
0.4850080833333337;35.87559791666666;67
0.4850080833333337;36.360606;68
0.49000816666666935;36.85061416666667;69
0.5050084166666622;37.35562258333333;70
0.5200086666666692;37.87563125;71
0.5300088333333335;38.40564008333333;72
0.5300088333333335;38.935648916666665;73
0.550009166666662;39.48565808333333;74
0.565009416666669;40.050667499999996;75
0.5750095833333333;40.62567708333333;76
0.5850097499999976;41.21068683333333;77
0.5750095833333333;41.78569641666666;78
0.5600093333333334;42.34570574999999;79
0.5400090000000048;42.88571475;80
0.5250087499999978;43.410723499999996;81
0.5150085833333335;43.92573208333333;82
0.5050084166666693;44.4307405;83
0.5050084166666622;44.93574891666666;84
0.49500825000000503;45.430757166666666;85
0.49000816666666225;45.92076533333333;86
0.49500824999999793;46.415773583333326;87
0.49500825000000503;46.91078183333333;88
0.49500824999999793;47.40579008333333;89
0.5000083333333336;47.90579841666666;90
0.5000083333333336;48.405806749999996;91
0.5100084999999979;48.915815249999994;92
0.5250087500000049;49.440824;93
0.5450090833333334;49.98583308333333;94
0.5450090833333334;50.530842166666666;95
0.5650094166666619;51.09585158333333;96
0.5700095000000047;51.66586108333333;97
0.5650094166666619;52.230870499999995;98
0.565009416666669;52.795879916666664;99
0.5600093333333334;53.35588925;100
0.5400089999999977;53.895898249999995;101
0.5250087499999978;54.42090699999999;102
0.5200086666666692;54.94091566666666;103
0.5100084999999979;55.45092416666666;104
0.5000083333333336;55.95093249999999;105
0.49500825000000503;56.44594075;106
0.49000816666666225;56.93594891666666;107
0.49000816666666935;57.42595708333333;108
0.49000816666666225;57.91596524999999;109
0.5000083333333336;58.415973583333326;110
0.510008500000005;58.92598208333333;111
0.5350089166666621;59.46099099999999;112
0.5400090000000048;60.001;113
0.5600093333333334;60.56100933333333;114
0.5700094999999976;61.13101883333333;115
0.5750095833333333;61.70602841666666;116
0.5600093333333334;62.266037749999995;117
0.5500091666666691;62.816046916666664;118
0.5150085833333335;63.3310555;119
0.5100084999999979;63.841063999999996;120
0.49500825000000503;64.33607225;121
0.49000816666665514;64.82608041666666;122
0.47000783333334084;65.29608825;123
0.47000783333332663;65.76609608333332;124
0.4550075833333409;66.22110366666666;125
0.4550075833333267;66.67611124999999;126
0.4500074999999981;67.12611874999999;127
0.44500741666666954;67.57112616666666;128
0.4350072499999982;68.00613341666666;129
0.4350072499999982;68.44114066666666;130
0.4350072500000124;68.87614791666667;131
0.42000699999999824;69.29615491666667;132
0.4100068333333269;69.70616174999999;133
0.4100068333333411;70.11616858333333;134
0.4100068333333269;70.52617541666666;135
0.4050067499999983;70.93118216666666;136
0.40000666666666973;71.33118883333333;137
0.39000649999999837;71.72119533333333;138
0.39000649999999837;72.11120183333333;139
0.3850064166666698;72.49620825;140
0.7700128333333254;73.26622108333332;141
0.37000616666666986;73.63622724999999;142
0.37500624999999843;74.01123349999999;143
0.37000616666666986;74.38123966666666;144
0.3650060833333413;74.74624575;145
0.7400123333333255;75.48625808333333;146
0.3550059166666699;75.841264;147
0.7250120833333256;76.56627608333332;148
