peakx,peaky
62.0,70.43126779002213
151.0,59.63878207390531
242.0,69.03528497780496
332.0,80.13288660963354
421.0,71.44730927561214
512.0,77.17158345285667
602.0,77.99282796339597
692.0,73.27243034386694
781.0,78.75986263482575
873.0,75.27885362641825
968.0,54.350967706193344
1053.0,75.94459669803109
1143.0,68.70039555416405
1234.0,73.27234769619851
1325.0,73.84403745255959
1415.0,89.10137357851903
1504.0,77.67751442565611
1596.0,81.6711782000335
1687.0,73.91591269592998
1778.0,100.93808375981371
1868.0,43.801368050353474
1956.0,75.84795307916069
2051.0,91.46971064410111
2142.0,49.554913531265704
2234.0,66.6685274257146
2325.0,94.88428516490059
2415.0,91.40237915235407
2507.0,78.18227626893467
2599.0,95.71660501247679
2691.0,77.810307166602
2782.0,105.04563835288884
2873.0,83.72007595205027
2970.0,82.28452009464716
3059.0,92.12912082568748
3150.0,99.90733535005813
3242.0,91.35803744953
3335.0,88.87006641292389
3427.0,96.91116706005005
3520.0,108.48413441531851
3611.0,94.83447211531916
3703.0,94.18663412820949
3797.0,94.68635021715025
3890.0,99.69703806634763
3981.0,123.33910031930564
4075.0,85.07946421532934
4172.0,94.54548565963734
4263.0,103.38120198786956
4354.0,107.97218355952486
4448.0,114.12860817928481
4541.0,89.62409065140662
4635.0,97.80300548111799
4728.0,108.6396997732386
4821.0,116.10731579606289
4915.0,91.01391058744515
5007.0,99.92043161084344
5101.0,98.2994884756218
5196.0,108.546448008721
5290.0,104.57289548967886
5382.0,123.93135809253832
5476.0,94.72717926005197
5573.0,110.56002485362811
5664.0,112.03909846345024
5756.0,105.2513869509943
5851.0,109.76968092301392
5946.0,98.75182126429515
6040.0,119.71466302200561
6134.0,115.4244213832749
6227.0,124.03433768333535
6321.0,90.27372208032111
6417.0,112.68002956627869
6512.0,120.35051865754671
6606.0,125.47271668729317
6701.0,106.17588052805078
6797.0,101.75473138067478
6892.0,122.16676660687942
6987.0,131.36472097903234
7082.0,116.72145232166643
7177.0,115.53982901726964
7274.0,114.98315040316487
7372.0,120.79394515390355
7464.0,166.08511989958652
7561.0,33.50522496382688
7655.0,120.60935428620002
7750.0,123.31970415048539
7847.0,111.39686388039415
7942.0,123.83446586113841
8037.0,118.0364418340866
8132.0,119.50289050832097
8228.0,108.62200413241219
8324.0,129.61236736809798
8420.0,119.99032496788477
8513.0,135.95554374404736
8608.0,116.6144901706843
8706.0,109.40955450405828
8802.0,131.3062965278408
8898.0,120.97628795519724
8992.0,131.72576677658168
9088.0,106.27789776337353
9184.0,145.7733593522724
9279.0,135.35776233792947
9376.0,168.0356757397302
9470.0,119.49758373011339
9569.0,120.20126883321883
9663.0,131.21148970347357
9761.0,97.82604892858907
9857.0,125.05254948914587
9951.0,133.97673798413243
10047.0,128.451927081379
10145.0,128.32319804347938
10242.0,136.16629886495792
10338.0,136.5916117549489
10434.0,136.83676986661987
10531.0,125.95110882228352
10629.0,133.00631036610253
10726.0,126.92463891479188
10823.0,136.50676183506948
10920.0,126.62665423091332
11017.0,119.49314630517492
11116.0,134.37629623262012
11214.0,135.89760214622137
11312.0,133.37993398538035
11409.0,131.55914019526062
11509.0,130.65262128581838
11606.0,137.73062733396256
11705.0,142.81436530315696
11802.0,145.68827750670482
11901.0,133.74991269284632
