peakx,peaky
50.0,82.35562543517554
174.0,51.150889936310875
331.0,106.98321970107189
486.0,79.89492186157328
637.0,103.07571602022067
791.0,89.51207325972686
951.0,97.55670426279141
1111.0,109.01632380292993
1271.0,110.75386154345095
1429.0,112.78752008379233
1580.0,99.09576777678639
1703.0,69.32565710131091
1820.0,114.79173427317197
1944.0,83.43400369010169
2065.0,88.2156431253813
2229.0,124.73249851741454
2387.0,98.61129269870442
2541.0,104.06075159833924
2694.0,95.27050690482841
2841.0,100.70621142497647
2971.0,80.9588057123891
3091.0,91.09477440248976
3212.0,97.24174817508764
3331.0,90.69382114231755
3487.0,127.49128935657626
3637.0,117.12816597266716
3783.0,116.40438904383805
3931.0,111.63395973433725
4070.0,121.05510891589235
4190.0,72.78002722374949
4309.0,106.34973099205796
4425.0,114.01370357699693
4542.0,100.74200903908164
4660.0,94.60867027006432
4813.0,152.45187594217646
4961.0,111.37043720132685
5105.0,116.71204067278514
5240.0,100.42445941947513
5387.0,124.05999957690258
5535.0,109.29426230533673
5673.0,117.17683449302281
5809.0,95.0524899671177
5920.0,102.09674949521708
6035.0,104.31665277060962
6151.0,111.95309604503134
6269.0,102.09131802180937
6419.0,209.543775359866
6569.0,131.99215251335505
6712.0,151.45543808522115
6860.0,136.57434294922822
7010.0,128.9902023862313
7153.0,129.66388225310163
7276.0,76.84552037181963
7387.0,104.4793580775455
7511.0,79.16263051932236
7663.0,145.44972657342606
7814.0,120.27294648596036
7957.0,116.62028599374199
8093.0,91.64439965627486
8243.0,143.16898735724035
8391.0,101.38840340547243
8537.0,138.26640451177593
8674.0,116.1405536238866
8793.0,90.64138552965613
8914.0,105.74889990865445
9068.0,163.77922191782764
9218.0,139.03614088602066
9362.0,144.19777990465323
9495.0,109.88727101901193
9647.0,163.75059158621616
9793.0,113.75347997554287
9940.0,150.64757558225674
10071.0,124.07959851885586
10188.0,112.01006736545217
10309.0,105.36922157045704
10461.0,165.69781559228468
10611.0,140.8334913580941
10749.0,144.43684679131803
10882.0,115.70791474100007
11027.0,169.52801791310122
11175.0,132.44927477967607
11314.0,150.37120373087086
11440.0,110.27704560946434
11560.0,122.2542279480665
11676.0,120.44701088100769
11789.0,105.99833830515361
11942.0,164.9834870763974
