Diff Between Pulses ;  ACC
0.9050150833333332;0.9050150833333332;0
0.7900131666666665;1.6950282499999998;1
0.7650127500000001;2.460041;2
0.7600126666666664;3.2200536666666664;3
0.7650127499999999;3.9850664166666663;4
0.8300138333333331;4.815080249999999;5
0.7650127500000004;5.580093;6
0.7250120833333327;6.305105083333332;7
0.6900115000000007;6.995116583333333;8
0.6700111666666659;7.665127749999999;9
0.6650110833333338;8.330138833333333;10
0.6800113333333329;9.010150166666666;11
0.6850114166666668;9.695161583333332;12
0.6800113333333329;10.375172916666665;13
0.7300121666666666;11.105185083333332;14
0.7500125000000004;11.855197583333332;15
0.7350122500000005;12.590209833333333;16
0.7500124999999986;13.340222333333331;17
0.7650127500000004;14.105235083333332;18
0.7550125833333343;14.860247666666666;19
0.7600126666666664;15.620260333333333;20
0.7600126666666664;16.380273;21
0.7700128333333325;17.15028583333333;22
0.7650127500000004;17.915298583333332;23
0.7150119166666684;18.6303105;24
0.705011749999997;19.335322249999997;25
0.7000116666666685;20.035333916666666;26
0.7000116666666649;20.73534558333333;27
0.7000116666666685;21.43535725;28
0.685011416666665;22.120368666666664;29
0.6600110000000008;22.780379666666665;30
0.685011416666665;23.46539108333333;31
0.6750112500000007;24.14040233333333;32
0.6950115833333328;24.835413916666663;33
0.7450124166666683;25.58042633333333;34
0.7600126666666647;26.340438999999996;35
0.7250120833333362;27.065451083333333;36
0.7100118333333327;27.775462916666665;37
0.6800113333333329;28.455474249999998;38
0.6800113333333329;29.13548558333333;39
0.7600126666666682;29.89549825;40
0.7850130833333324;30.68051133333333;41
0.8100135000000002;31.490524833333332;42
0.820013666666668;32.3105385;43
0.8300138333333322;33.14055233333333;44
0.8500141666666678;33.9905665;45
0.8350139166666608;34.82558041666666;46
0.8250137500000037;35.650594166666664;47
0.8500141666666678;36.50060833333333;48
0.8450140833333322;37.345622416666664;49
0.8550142499999964;38.20063666666666;50
0.8500141666666678;39.05065083333333;51
0.820013666666668;39.8706645;52
0.8100135000000037;40.680678;53
0.7950132499999967;41.47569125;54
0.7850130833333324;42.26070433333333;55
0.820013666666668;43.080718;56
0.8550142499999964;43.935732249999994;57
0.8700145000000035;44.80574675;58
0.8800146666666677;45.685761416666665;59
0.8600143333333321;46.54577575;60
0.8550142499999964;47.40078999999999;61
0.8750145833333391;48.27580458333333;62
0.8600143333333321;49.135818916666665;63
0.8600143333333321;49.99583325;64
0.8600143333333321;50.85584758333333;65
0.8150135833333323;51.67086116666666;66
0.8100135000000037;52.480874666666665;67
0.8350139166666608;53.315888583333326;68
0.8450140833333393;54.160902666666665;69
0.8300138333333322;54.9909165;70
0.8000133333333324;55.79092983333333;71
0.7600126666666682;56.5509425;72
0.7350122499999969;57.285954749999995;73
0.7600126666666682;58.04596741666666;74
0.7700128333333325;58.815980249999996;75
0.7850130833333324;59.60099333333333;76
0.7900131666666681;60.391006499999996;77
0.7600126666666682;61.151019166666664;78
0.7800129999999967;61.93103216666666;79
0.7450124166666683;62.67604458333333;80
0.7350122499999969;63.411056833333326;81
0.735012250000004;64.14606908333333;82
0.6850114166666685;64.8310805;83
0.6700111666666686;65.50109166666667;84
0.6700111666666544;66.17110283333332;85
1.2800213333333375;67.45112416666666;86
0.6300104999999974;68.08113466666666;87
0.6050100833333403;68.68614475;88
0.6100101666666689;69.29615491666667;89
0.6650110833333258;69.96116599999999;90
0.5100084999999979;70.47117449999999;91
1.1700195000000093;71.641194;92
0.580009666666669;72.22120366666667;93
1.1400189999999952;73.36122266666666;94
1.1550192499999952;74.51624191666666;95
0.5550092499999977;75.07125116666666;96
0.5600093333333405;75.6312605;97
0.5550092499999977;76.18626975;98
0.5500091666666691;76.73627891666666;99
1.0550175833333242;77.79129649999999;100
0.5350089166666692;78.32630541666666;101
1.0500175000000098;79.37632291666667;102
0.5100084999999979;79.88633141666666;103
0.5150085833333264;80.40133999999999;104
0.5250087499999978;80.92634874999999;105
0.5050084166666693;81.43135716666666;106
0.5050084166666693;81.93636558333333;107
0.5100084999999979;82.44637408333332;108
0.49500824999999793;82.94138233333332;109
0.9750162500000101;83.91639858333333;110
0.9800163333333245;84.89641491666666;111
0.49500824999999793;85.39142316666666;112
0.49500824999999793;85.88643141666665;113
0.49500825000001214;86.38143966666667;114
0.49000816666665514;86.87144783333332;115
0.9650160833333388;87.83646391666666;116
0.49000816666666935;88.32647208333333;117
0.480007999999998;88.80648008333333;118
0.9550159166666674;89.761496;119
0.4750079166666694;90.23650391666666;120
0.9400156666666675;91.17651958333333;121
0.46500774999999805;91.64152733333333;122
0.9200153333333247;92.56154266666665;123
0.9150152500000104;93.47655791666666;124
0.4500074999999981;93.92656541666666;125
0.44500741666666954;94.37157283333333;126
0.4500074999999981;94.82158033333333;127
0.4500074999999981;95.27158783333333;128
0.5100084999999979;95.78159633333333;129
0.36500608333332707;96.14660241666665;130
0.8750145833333391;97.02161699999999;131
0.4250070833333268;97.44662408333332;132
0.9700161666666673;98.41664024999999;133
0.3350055833333414;98.75164583333333;134
0.8500141666666678;99.60166;135
0.49000816666666935;100.09166816666666;136
0.36500608333332707;100.45667424999999;137
0.42000699999999824;100.87668124999999;138
1.270021166666666;102.14670241666666;139
0.42000699999999824;102.56670941666665;140
0.42000699999999824;102.98671641666665;141
0.8400140000000107;103.82673041666666;142
0.8350139166666679;104.66174433333333;143
0.48500808333332657;105.14675241666666;144
1.2500208333333376;106.39677325;145
0.7850130833333253;107.18178633333332;146
0.42500708333334103;107.60679341666666;147
0.4250070833333268;108.03180049999999;148
