peakx,peaky
93.0,64.30196188008031
184.0,48.687956146347105
273.0,67.75502513797939
363.0,52.41427242237122
453.0,85.97898995010296
537.0,55.94786485964814
627.0,34.107644057398524
719.0,31.15675224513335
805.0,70.2473642041202
896.0,97.17319361026018
983.0,40.36946603936966
1075.0,23.00574276989835
1167.0,98.93645282599714
1252.0,51.53488751906899
1333.0,42.82183778056555
1424.0,48.370728048898975
1518.0,50.79448956257928
1602.0,57.068684031258236
1690.0,72.65583653604946
1773.0,46.87000463172412
1874.0,48.0534721071745
1959.0,97.34478144823555
2131.0,47.7041199123957
2222.0,54.471233266732774
2314.0,63.84498977024165
2395.0,64.87154788523159
2480.0,99.36473740363697
2571.0,77.74573367762058
2673.0,61.71543969606481
2759.0,51.51278882460428
2837.0,59.70839546683803
2924.0,80.29207768322988
3102.0,55.21415184807246
3186.0,88.7321126867388
3278.0,33.10454571729096
3368.0,52.90764603732842
3460.0,72.7692854102638
3636.0,21.372173561964516
3721.0,77.692509593268
3812.0,50.70771760494932
3901.0,74.54252145103322
4077.0,52.75217057508954
4165.0,104.55865766110433
4358.0,35.220991026963524
4431.0,24.14894073906203
4519.0,83.84349763896492
4609.0,60.20112601057466
4689.0,36.767766502930726
4787.0,38.0276338143362
4875.0,62.775717253576154
4961.0,86.29251253271916
5048.0,75.32196310207226
5138.0,36.33700271362823
5225.0,67.33264223902064
5313.0,88.2087626523082
5404.0,50.02600822420488
5580.0,70.52003593291435
5670.0,81.70858261028236
5759.0,66.81496821548822
5842.0,83.64149704108596
5931.0,40.62356385793745
6016.0,36.63838549437637
6109.0,75.25655672304406
6197.0,29.907888214640714
6286.0,40.20517518056276
6373.0,48.11263320581334
6458.0,53.9148883757532
6557.0,66.42522848990622
6638.0,54.6252391277759
6725.0,26.139532163329662
6816.0,76.64949459361893
6900.0,55.423486551409944
6988.0,82.94906388074114
7166.0,57.17921577153493
7254.0,86.05135164997603
7339.0,71.91152587142527
7513.0,51.050178567123204
7605.0,113.30127688264736
7693.0,116.3381589575071
7775.0,47.54893321945981
7866.0,37.31071256534742
7957.0,105.06768367099653
8044.0,57.985343174487284
8213.0,80.24949515031287
8302.0,50.03359561170184
8392.0,79.69218665319946
8476.0,58.62976247704917
8564.0,67.66581363696125
8655.0,44.37335427033255
8733.0,84.71288333143343
8824.0,102.62747626639064
9005.0,45.52448439789732
9084.0,50.87798116468433
9178.0,55.1951347356032
9261.0,80.0623404753814
9441.0,75.58773175207283
9525.0,92.82686815936509
9613.0,40.78419316927314
9693.0,82.54204103407007
9785.0,45.539618340768996
9876.0,33.00183276515683
9961.0,73.38022938120824
10042.0,64.92215531438096
10263.0,42.93633331068134
10303.0,63.18450703345327
10393.0,62.073160871333776
10485.0,62.2361681189546
10567.0,30.551769038931557
10656.0,57.926201440260115
10756.0,85.48676948309927
10917.0,19.798239846569054
11009.0,46.51505688323747
11095.0,38.424519417657685
11178.0,92.51859997073156
11264.0,50.76654342155041
11361.0,35.05394004184096
11440.0,30.985205754425362
11527.0,65.50325578745772
11623.0,40.90536325248884
11788.0,78.08649296360686
11883.0,44.835184639801156
11968.0,67.22147477780301
